product_id,price,discount_percentage,sold_count,rating,review_count,total_stock,category,brand_name_guess,province,price_band
100330339690,39000,0,3,5,1,59,Serum Wajah,Ready Stock Glad2glow,Jawa Tengah,<50k
100233447104,49999,0,63,4.8,6,999997,Serum Wajah,Glad2glow Pomegranate,Jawa Barat,<50k
294241337,93575,0.18,70983,4.9,12263,1168,Serum Wajah,Wardah,Jawa Barat,50–99k
100243816677,43880,0,3,0,0,20,Serum Wajah,Glad2glow,Sumatera Barat,<50k
10617875207,94400,0.41,115,5,41,77,Serum Wajah,Personafic For Men,Jawa Tengah,50–99k
100267522490,26500,0.24,1094,5,109,242,Serum Wajah,Nufaceid,Banten,<50k
100071577399,86443,0.15,621038,4.9,30011,160903,Serum Wajah,Hanasui,Banten,50–99k
100252249639,39400,0.49,116249,4.9,9292,47965,Serum Wajah,White Story,DKI Jakarta,<50k
15611385549,18042,0,390,4.8,59,60698,Serum Wajah,Viva,Jawa Tengah,<50k
15589215031,45900,0,2,5,2,3,Serum Wajah,Glad2glow Pomegranate,Kalimantan Timur,<50k
100846446573,53900,0.34,1049,4.6,147,3953,Serum Wajah,Glamazing,Jawa Timur,50–99k
100004110013,39425,0.44,51,4.4,9,452,Serum Wajah,Glad2glow,Jawa Timur,<50k
100072596285,74415,0.17,1546,4.9,393,168,Serum Wajah,Mineral Botanica,DKI Jakarta,50–99k
100254488886,83600,0.05,17460,4.9,3247,289681,Serum Wajah,Clorismen,Jawa Barat,50–99k
100632592049,49000,0.51,312,4.9,18,1015,Serum Wajah,Axis-Y,DKI Jakarta,<50k
2214048111,131600,0.06,1341,4.9,618,881,Krim Wajah,CeraVe,DKI Jakarta,100–199k
5195640054,299700,0.1,124,5,36,30,Krim Wajah,Beauty of Joseon,Banten,200–349k
1208105163,1330000,0.01,55,4.9,19,46,Paket Perawatan Wajah,SK-II,DKI Jakarta,350k+
100846446579,59000,0.48,96156,4.9,5476,8999,Face Mist,Glamazing,Jawa Timur,50–99k
100425474263,227400,0,1,5,1,11,Face Mist,Ready Stock,Jawa Timur,200–349k
16056286723,78900,0.6,1213,4.9,318,447273,Krim Wajah,Glad2glow,Banten,50–99k
12641434228,106700,0.03,3273,4.9,1059,79,Krim Wajah,CeraVe,Banten,100–199k
16109904290,70000,0.72,76016,4.9,5213,25343,Face Mist,SKIN1004,DKI Jakarta,50–99k
100271637528,93800,0.15,59042,4.9,11296,70963,Face Mist,Hanasui,Banten,50–99k
100271632674,254000,0.44,5252,5,42,589,Face Mist,Pyunkang Yul,Banten,200–349k
11818485736,178200,0.19,2524,5,600,494,Face Mist,From This Island,DKI Jakarta,100–199k
100143670550,23240,0.3,87,3.7,3,244,Face Mist,Moisturizer,DKI Jakarta,<50k
100625388669,45000,0,4,0,0,721,Face Mist,Glad2glow Moisturizer,Jawa Tengah,<50k
100462941455,99000,0.38,477,4.9,128,99511,Face Mist,Glad2glow,Banten,50–99k
16550136390,399000,0.5,606,4.9,96,4388,Face Mist,Anua,DKI Jakarta,350k+
100515185021,154630,0.06,128,4.8,19,30,Face Mist,Nutrishe,DI Yogyakarta,100–199k
100279750028,65900,0.72,220,4.8,10,684,Face Mist,Beauty of Joseon,DKI Jakarta,50–99k
1241003717,135000,0.1,1860,4.9,954,45,Krim Wajah,Gamal.Men,DKI Jakarta,100–199k
100022056034,105000,0.64,15924,4.9,567,888,Face Mist,HA PRO,DKI Jakarta,100–199k
100462761915,12825,0.49,22244,4.9,1822,2317,Face Mist,Asfindo Scents,Jawa Barat,<50k
100090134481,146490,0.08,5226,4.9,1553,12642,Face Mist,Geut,Banten,100–199k
15433100825,109000,0.23,343,5,74,2350,Krim Wajah,Somethinc,Banten,100–199k
1743108319,135000,0.1,953,4.9,526,108,Krim Wajah,MS Glow,DKI Jakarta,100–199k
100453333898,85000,0.53,13968,4.9,258,5253,Face Mist,Kymmskin,DI Yogyakarta,50–99k
100568177422,19033,0.66,39,5,4,95,Face Mist,Implora,Banten,<50k
13050519991,84825,0.1,3,0,0,10,Face Mist,Npure,Jawa Barat,50–99k
100273428946,153000,0.7,102864,4.9,10118,29012,Face Mist,SKIN1004,DKI Jakarta,100–199k
100105428018,33350,0.56,185153,4.8,8522,17797,Face Mist,Beauty of Joseon,Banten,<50k
15663553435,34000,0.03,468,4.9,91,85,Krim Wajah,Glad2glow Blueberry Ceramide,Jawa Timur,<50k
100281021990,114000,0.13,101274,4.9,10362,3190,Face Mist,Wardah,Jawa Barat,100–199k
100276422768,7943,0.06,40240,4.9,2699,50,Face Mist,Viva,Jawa Timur,<50k
15903797420,76475,0.27,7379,4.9,777,4557,Face Mist,Emina,Jawa Timur,50–99k
102027723609,33000,0,211,4.9,62,11,Krim Wajah,Glad2glow,Jawa Barat,<50k
