Related_Topics,Percentage
Perawatan kulit,100
Kulit,97
Wajah,11
Natasha,5
Produk,5
Jerawat,5
Krim,4
Pelembap,4
Serum darah,4
Barisan,4
Tabir surya,4
Badan Pengawas Obat dan Makanan,3
Balai Besar Pengawas Obat Dan Makanan,3
Klinik,2
Kosmetik,2
Toner,2
Pembersih wajah,2
Pemutih kulit,2
Keindahan,2
Wardah,2
Eksfoliasi,2
Topeng,2
skintific,1
G2G,1
Noda,1
